Counter: 0 | X: 846 | Y: 725 | Z: 945
Counter: 1 | X: 847 | Y: 724 | Z: 945
Counter: 2 | X: 846 | Y: 723 | Z: 945
Counter: 3 | X: 846 | Y: 724 | Z: 944
Counter: 4 | X: 847 | Y: 725 | Z: 944
Counter: 5 | X: 847 | Y: 725 | Z: 943
Counter: 6 | X: 848 | Y: 725 | Z: 944
Counter: 7 | X: 847 | Y: 724 | Z: 944
Counter: 8 | X: 846 | Y: 724 | Z: 944
Counter: 9 | X: 846 | Y: 725 | Z: 944
Counter: 10 | X: 846 | Y: 724 | Z: 944
Counter: 11 | X: 847 | Y: 724 | Z: 944
Counter: 12 | X: 846 | Y: 724 | Z: 944
Counter: 13 | X: 846 | Y: 724 | Z: 944
Counter: 14 | X: 847 | Y: 725 | Z: 944
Counter: 15 | X: 846 | Y: 725 | Z: 944
Counter: 16 | X: 847 | Y: 724 | Z: 944
Counter: 17 | X: 847 | Y: 725 | Z: 944
Counter: 18 | X: 847 | Y: 725 | Z: 944
Counter: 19 | X: 846 | Y: 725 | Z: 943
Counter: 20 | X: 846 | Y: 725 | Z: 944
Counter: 21 | X: 845 | Y: 725 | Z: 944
Counter: 22 | X: 845 | Y: 725 | Z: 944
Counter: 23 | X: 845 | Y: 725 | Z: 943
Counter: 24 | X: 847 | Y: 725 | Z: 943
Counter: 25 | X: 847 | Y: 724 | Z: 944
Counter: 26 | X: 847 | Y: 724 | Z: 944
Counter: 27 | X: 847 | Y: 724 | Z: 944
Counter: 28 | X: 847 | Y: 725 | Z: 944
Counter: 29 | X: 847 | Y: 725 | Z: 944
Counter: 30 | X: 847 | Y: 725 | Z: 944
Counter: 31 | X: 847 | Y: 725 | Z: 944
Counter: 32 | X: 846 | Y: 725 | Z: 944
Counter: 33 | X: 846 | Y: 725 | Z: 944
Counter: 34 | X: 847 | Y: 725 | Z: 944
Counter: 35 | X: 847 | Y: 725 | Z: 945
Counter: 36 | X: 846 | Y: 725 | Z: 945
Counter: 37 | X: 846 | Y: 725 | Z: 945
Counter: 38 | X: 846 | Y: 725 | Z: 945
Counter: 39 | X: 846 | Y: 725 | Z: 943
Counter: 40 | X: 847 | Y: 725 | Z: 943
Counter: 41 | X: 846 | Y: 725 | Z: 944
Counter: 42 | X: 845 | Y: 726 | Z: 944
Counter: 43 | X: 847 | Y: 725 | Z: 944
Counter: 44 | X: 847 | Y: 725 | Z: 944
Counter: 45 | X: 847 | Y: 725 | Z: 944
Counter: 46 | X: 847 | Y: 725 | Z: 944
Counter: 0 | X: 847 | Y: 725 | Z: 945
Counter: 1 | X: 847 | Y: 725 | Z: 944
Counter: 2 | X: 847 | Y: 725 | Z: 944
Counter: 3 | X: 848 | Y: 725 | Z: 943
Counter: 4 | X: 847 | Y: 725 | Z: 944
Counter: 5 | X: 846 | Y: 724 | Z: 944
Counter: 6 | X: 847 | Y: 724 | Z: 944
