Counter: 0 | X: 2.866795 | Y:0.026039 | Z: 0.001590
Counter: 1 | X: 0.034794 | Y:0.009741 | Z: 0.004789
Counter: 2 | X: 0.031470 | Y:0.006730 | Z: 0.005166
Counter: 3 | X: 0.027224 | Y:0.005867 | Z: 0.005229
Counter: 4 | X: 0.032485 | Y:0.006173 | Z: 0.005399
Counter: 5 | X: 0.056089 | Y:0.006511 | Z: 0.005711
Counter: 6 | X: 0.028092 | Y:0.006266 | Z: 0.005969
Counter: 7 | X: 0.029920 | Y:0.006599 | Z: 0.005765
Counter: 8 | X: 0.043133 | Y:0.007151 | Z: 0.006366
Counter: 9 | X: 0.030029 | Y:0.006549 | Z: 0.006051
Counter: 10 | X: 0.029874 | Y:0.006837 | Z: 0.006096
Counter: 11 | X: 0.040483 | Y:0.007486 | Z: 0.006807
Counter: 12 | X: 0.037761 | Y:0.007279 | Z: 0.006482
Counter: 13 | X: 0.027591 | Y:0.007189 | Z: 0.006432
Counter: 14 | X: 0.038557 | Y:0.007037 | Z: 0.006479
Counter: 15 | X: 0.040141 | Y:0.007770 | Z: 0.006377
Counter: 0 | X: 0.068018 | Y:0.008309 | Z: 0.006435
Counter: 1 | X: 0.044323 | Y:0.006872 | Z: 0.006796
Counter: 2 | X: 0.034177 | Y:0.007518 | Z: 0.006706
Counter: 3 | X: 0.056381 | Y:0.007760 | Z: 0.006454
Counter: 4 | X: 0.029278 | Y:0.007267 | Z: 0.006761
Counter: 5 | X: 0.029688 | Y:0.007316 | Z: 0.006980
Counter: 6 | X: 0.042391 | Y:0.008176 | Z: 0.006980
Counter: 7 | X: 0.032642 | Y:0.007370 | Z: 0.007054
Counter: 8 | X: 0.030801 | Y:0.007330 | Z: 0.006953
Counter: 9 | X: 0.042297 | Y:0.007725 | Z: 0.007071
Counter: 10 | X: 0.037338 | Y:0.007982 | Z: 0.006845
Counter: 11 | X: 0.038930 | Y:0.007522 | Z: 0.006646
Counter: 12 | X: 0.070924 | Y:0.008737 | Z: 0.006633
Counter: 13 | X: 0.034732 | Y:0.007468 | Z: 0.006835
Counter: 14 | X: 0.082579 | Y:0.008283 | Z: 0.007353
Counter: 15 | X: 0.051523 | Y:0.008197 | Z: 0.006613
Counter: 16 | X: 0.085340 | Y:0.008447 | Z: 0.006533
Counter: 17 | X: 0.068333 | Y:0.008559 | Z: 0.006971
Counter: 18 | X: 0.045663 | Y:0.008472 | Z: 0.006804
Counter: 19 | X: 0.077984 | Y:0.007793 | Z: 0.006951
Counter: 20 | X: 0.028287 | Y:0.007685 | Z: 0.006746
Counter: 21 | X: 0.037696 | Y:0.007620 | Z: 0.007409
Counter: 22 | X: 0.072473 | Y:0.007906 | Z: 0.007017
Counter: 23 | X: 0.028531 | Y:0.007455 | Z: 0.006611
Counter: 24 | X: 0.046641 | Y:0.007610 | Z: 0.007123
Counter: 25 | X: 0.044808 | Y:0.007818 | Z: 0.007200
Counter: 26 | X: 0.029138 | Y:0.007149 | Z: 0.006639
Counter: 27 | X: 0.030354 | Y:0.007628 | Z: 0.006879
Counter: 28 | X: 0.058768 | Y:0.008238 | Z: 0.006821
Counter: 29 | X: 0.034616 | Y:0.007594 | Z: 0.006679
Counter: 30 | X: 0.029439 | Y:0.007927 | Z: 0.006774
Counter: 31 | X: 0.041610 | Y:0.008296 | Z: 0.007305
Counter: 32 | X: 0.038630 | Y:0.007688 | Z: 0.006959
Counter: 33 | X: 0.028819 | Y:0.007193 | Z: 0.006968
Counter: 34 | X: 0.034385 | Y:0.008030 | Z: 0.006840
Counter: 35 | X: 0.042098 | Y:0.008064 | Z: 0.006890
Counter: 36 | X: 0.028759 | Y:0.007666 | Z: 0.006725
Counter: 37 | X: 0.030777 | Y:0.007455 | Z: 0.007243
Counter: 38 | X: 0.043653 | Y:0.007931 | Z: 0.007190
Counter: 39 | X: 0.031939 | Y:0.007906 | Z: 0.006852
Counter: 40 | X: 0.029900 | Y:0.007472 | Z: 0.006943
Counter: 41 | X: 0.041816 | Y:0.007543 | Z: 0.007619
Counter: 42 | X: 0.037335 | Y:0.008512 | Z: 0.006849
Counter: 43 | X: 0.042807 | Y:0.007536 | Z: 0.007215
Counter: 44 | X: 0.041318 | Y:0.007969 | Z: 0.006955
Counter: 45 | X: 0.031376 | Y:0.007472 | Z: 0.007171
Counter: 46 | X: 0.062976 | Y:0.007820 | Z: 0.007312
Counter: 47 | X: 0.031769 | Y:0.007694 | Z: 0.006875
Counter: 48 | X: 0.034070 | Y:0.007324 | Z: 0.007242
Counter: 49 | X: 0.091392 | Y:0.007799 | Z: 0.006558
Counter: 50 | X: 0.053164 | Y:0.007565 | Z: 0.006935
