date: 290317, hour: 040749.000
Counter: 0 | X: 1.635099 | Y:1.566129 | Z: 1.277884
Counter: 1 | X: 1.630140 | Y:1.567311 | Z: 1.279371
Counter: 2 | X: 1.628332 | Y:1.567476 | Z: 1.280371
Counter: 3 | X: 1.627480 | Y:1.567430 | Z: 1.280746
Counter: 4 | X: 1.627078 | Y:1.568287 | Z: 1.281208
Counter: 5 | X: 1.626744 | Y:1.568165 | Z: 1.279307
Counter: 6 | X: 1.626567 | Y:1.567991 | Z: 1.279876
Counter: 7 | X: 1.626032 | Y:1.568447 | Z: 1.279789
Counter: 8 | X: 1.626256 | Y:1.567989 | Z: 1.279101
Counter: 9 | X: 1.627086 | Y:1.567082 | Z: 1.279494
Counter: 10 | X: 1.627057 | Y:1.567585 | Z: 1.280092
Counter: 11 | X: 1.626579 | Y:1.568126 | Z: 1.281768
Counter: 12 | X: 1.626367 | Y:1.567988 | Z: 1.280714
Counter: 13 | X: 1.626498 | Y:1.568364 | Z: 1.280079
Counter: 14 | X: 1.627000 | Y:1.568034 | Z: 1.280843
Counter: 15 | X: 1.626609 | Y:1.568799 | Z: 1.279911
Counter: 16 | X: 1.628258 | Y:1.567314 | Z: 1.279980
Counter: 17 | X: 1.627608 | Y:1.567337 | Z: 1.280560
Counter: 18 | X: 1.627309 | Y:1.567960 | Z: 1.281181
Counter: 19 | X: 1.627490 | Y:1.567782 | Z: 1.280868
Counter: 20 | X: 1.627492 | Y:1.566933 | Z: 1.280421
Counter: 21 | X: 1.628619 | Y:1.566787 | Z: 1.281324
Counter: 22 | X: 1.628513 | Y:1.566683 | Z: 1.280249
Counter: 23 | X: 1.627772 | Y:1.565908 | Z: 1.280892
Counter: 24 | X: 1.628086 | Y:1.566254 | Z: 1.280188
Counter: 25 | X: 1.627679 | Y:1.566319 | Z: 1.281639
Counter: 26 | X: 1.627360 | Y:1.567763 | Z: 1.280993
Counter: 27 | X: 1.628618 | Y:1.567493 | Z: 1.281181
Counter: 28 | X: 1.628306 | Y:1.566791 | Z: 1.280433
Counter: 29 | X: 1.628330 | Y:1.567005 | Z: 1.281829
Counter: 30 | X: 1.628216 | Y:1.567387 | Z: 1.281813
Counter: 31 | X: 1.628004 | Y:1.567262 | Z: 1.280240
Counter: 32 | X: 1.627555 | Y:1.567486 | Z: 1.280494
Counter: 33 | X: 1.627586 | Y:1.567356 | Z: 1.280755
Counter: 34 | X: 1.627107 | Y:1.567250 | Z: 1.279614
Counter: 35 | X: 1.626741 | Y:1.566966 | Z: 1.279183
Counter: 36 | X: 1.626578 | Y:1.566057 | Z: 1.279438
Counter: 37 | X: 1.626469 | Y:1.567138 | Z: 1.280291
Counter: 38 | X: 1.626676 | Y:1.568053 | Z: 1.280111
Counter: 39 | X: 1.626872 | Y:1.566808 | Z: 1.280867
Counter: 40 | X: 1.626361 | Y:1.566569 | Z: 1.282338
Counter: 41 | X: 1.626526 | Y:1.566325 | Z: 1.281056
Counter: 42 | X: 1.625642 | Y:1.568080 | Z: 1.280160
Counter: 43 | X: 1.626870 | Y:1.566880 | Z: 1.280429
Counter: 44 | X: 1.626248 | Y:1.567689 | Z: 1.280737
Counter: 45 | X: 1.626800 | Y:1.568307 | Z: 1.279679
Counter: 46 | X: 1.626829 | Y:1.567873 | Z: 1.280427
Counter: 47 | X: 1.626990 | Y:1.567462 | Z: 1.281839
Counter: 48 | X: 1.627348 | Y:1.566715 | Z: 1.279485
Counter: 49 | X: 1.628171 | Y:1.567227 | Z: 1.279937
Counter: 50 | X: 1.627600 | Y:1.567061 | Z: 1.280449
Counter: 51 | X: 1.627431 | Y:1.567427 | Z: 1.281520
Counter: 52 | X: 1.627579 | Y:1.567481 | Z: 1.280084
Counter: 53 | X: 1.627197 | Y:1.568085 | Z: 1.280372
Counter: 54 | X: 1.627922 | Y:1.567340 | Z: 1.280654
Counter: 55 | X: 1.626980 | Y:1.568360 | Z: 1.282099
Counter: 56 | X: 1.627005 | Y:1.567981 | Z: 1.280578
Counter: 57 | X: 1.627141 | Y:1.567754 | Z: 1.280120
Counter: 58 | X: 1.627826 | Y:1.567287 | Z: 1.280460
Counter: 59 | X: 1.627922 | Y:1.568102 | Z: 1.281128
Counter: 60 | X: 1.627470 | Y:1.568414 | Z: 1.281712
Counter: 61 | X: 1.628181 | Y:1.568114 | Z: 1.279686
Counter: 62 | X: 1.627770 | Y:1.567911 | Z: 1.280611
Counter: 63 | X: 1.627007 | Y:1.568244 | Z: 1.281270
Counter: 64 | X: 1.627403 | Y:1.568478 | Z: 1.279522
Counter: 65 | X: 1.626957 | Y:1.567796 | Z: 1.280973
Counter: 66 | X: 1.627899 | Y:1.568160 | Z: 1.281207
Counter: 67 | X: 1.626761 | Y:1.568343 | Z: 1.280975
Counter: 68 | X: 1.626616 | Y:1.567641 | Z: 1.279463
Counter: 69 | X: 1.627765 | Y:1.566606 | Z: 1.279872
Counter: 70 | X: 1.626645 | Y:1.566648 | Z: 1.281703
Counter: 71 | X: 1.627429 | Y:1.567480 | Z: 1.280739
Counter: 72 | X: 1.627128 | Y:1.566566 | Z: 1.281186
Counter: 73 | X: 1.627758 | Y:1.566816 | Z: 1.281429
Counter: 74 | X: 1.627288 | Y:1.567499 | Z: 1.280930
Counter: 75 | X: 1.627095 | Y:1.567040 | Z: 1.280800
Counter: 76 | X: 1.627551 | Y:1.566756 | Z: 1.280592
Counter: 77 | X: 1.627189 | Y:1.566278 | Z: 1.280224
Counter: 78 | X: 1.627252 | Y:1.567351 | Z: 1.279680
Counter: 79 | X: 1.627591 | Y:1.566770 | Z: 1.279524
Counter: 80 | X: 1.627540 | Y:1.566426 | Z: 1.279740
Counter: 81 | X: 1.627297 | Y:1.567068 | Z: 1.280402
Counter: 82 | X: 1.628009 | Y:1.567554 | Z: 1.281403
Counter: 83 | X: 1.628044 | Y:1.566880 | Z: 1.280401
Counter: 84 | X: 1.627614 | Y:1.567289 | Z: 1.280106
Counter: 85 | X: 1.627181 | Y:1.567370 | Z: 1.279698
Counter: 86 | X: 1.627619 | Y:1.566062 | Z: 1.279856
Counter: 87 | X: 1.627033 | Y:1.565995 | Z: 1.280709
Counter: 88 | X: 1.627313 | Y:1.566456 | Z: 1.281602
Counter: 89 | X: 1.627108 | Y:1.567073 | Z: 1.280560
Counter: 90 | X: 1.627985 | Y:1.567511 | Z: 1.281375
Counter: 91 | X: 1.627302 | Y:1.567894 | Z: 1.281627
Counter: 92 | X: 1.626296 | Y:1.568561 | Z: 1.280509
Counter: 93 | X: 1.627266 | Y:1.567812 | Z: 1.280000
Counter: 94 | X: 1.627301 | Y:1.567477 | Z: 1.280420
Counter: 95 | X: 1.626854 | Y:1.568094 | Z: 1.281759
Counter: 96 | X: 1.625894 | Y:1.567734 | Z: 1.279094
Counter: 97 | X: 1.627253 | Y:1.568178 | Z: 1.279117
Counter: 98 | X: 1.626881 | Y:1.568142 | Z: 1.279493
Counter: 99 | X: 1.627241 | Y:1.567928 | Z: 1.281272
Counter: 100 | X: 1.626808 | Y:1.567902 | Z: 1.280770
Counter: 101 | X: 1.627032 | Y:1.567880 | Z: 1.281647
Counter: 102 | X: 1.626669 | Y:1.568396 | Z: 1.282494
Counter: 103 | X: 1.626733 | Y:1.568726 | Z: 1.281000
Counter: 104 | X: 1.627111 | Y:1.568028 | Z: 1.280949
Counter: 105 | X: 1.626826 | Y:1.567577 | Z: 1.281978
Counter: 106 | X: 1.627075 | Y:1.568201 | Z: 1.281482
Counter: 107 | X: 1.627040 | Y:1.567733 | Z: 1.280987
Counter: 108 | X: 1.628204 | Y:1.567954 | Z: 1.281973
Counter: 109 | X: 1.628429 | Y:1.567396 | Z: 1.282833
Counter: 110 | X: 1.627440 | Y:1.567786 | Z: 1.282004
Counter: 111 | X: 1.627567 | Y:1.567727 | Z: 1.281553
Counter: 112 | X: 1.627275 | Y:1.567289 | Z: 1.279664
Counter: 113 | X: 1.627116 | Y:1.567373 | Z: 1.281216
Counter: 114 | X: 1.627014 | Y:1.567444 | Z: 1.280114
Counter: 115 | X: 1.628033 | Y:1.567652 | Z: 1.281736
Counter: 116 | X: 1.627885 | Y:1.566732 | Z: 1.282787
Counter: 117 | X: 1.626741 | Y:1.567526 | Z: 1.281883
Counter: 118 | X: 1.626802 | Y:1.567217 | Z: 1.280926
Counter: 119 | X: 1.627301 | Y:1.566756 | Z: 1.281628
Counter: 120 | X: 1.627073 | Y:1.566478 | Z: 1.280716
Counter: 121 | X: 1.627090 | Y:1.566724 | Z: 1.279635
Counter: 122 | X: 1.627524 | Y:1.566014 | Z: 1.279855
Counter: 123 | X: 1.626834 | Y:1.566351 | Z: 1.280313
Counter: 124 | X: 1.627337 | Y:1.567057 | Z: 1.279951
Counter: 125 | X: 1.627098 | Y:1.566573 | Z: 1.280850
Counter: 126 | X: 1.627301 | Y:1.566876 | Z: 1.280128
Counter: 127 | X: 1.627160 | Y:1.566688 | Z: 1.280395
Counter: 128 | X: 1.626855 | Y:1.567321 | Z: 1.281162
Counter: 129 | X: 1.626672 | Y:1.567154 | Z: 1.280710
Counter: 130 | X: 1.626987 | Y:1.566579 | Z: 1.280144
Counter: 131 | X: 1.627262 | Y:1.566512 | Z: 1.279926
Counter: 132 | X: 1.627228 | Y:1.567137 | Z: 1.280405
Counter: 133 | X: 1.626510 | Y:1.567059 | Z: 1.281968
Counter: 134 | X: 1.627257 | Y:1.566636 | Z: 1.280002
Counter: 135 | X: 1.627196 | Y:1.566950 | Z: 1.280348
Counter: 136 | X: 1.626464 | Y:1.567748 | Z: 1.281351
Counter: 137 | X: 1.626742 | Y:1.567480 | Z: 1.280797
Counter: 138 | X: 1.626483 | Y:1.566584 | Z: 1.281326
Counter: 139 | X: 1.626483 | Y:1.567416 | Z: 1.281485
Counter: 140 | X: 1.626791 | Y:1.567263 | Z: 1.279770
Counter: 141 | X: 1.626596 | Y:1.567429 | Z: 1.278756
Counter: 142 | X: 1.627084 | Y:1.567590 | Z: 1.279655
Counter: 143 | X: 1.626510 | Y:1.568288 | Z: 1.279441
Counter: 144 | X: 1.626330 | Y:1.568239 | Z: 1.279412
Counter: 145 | X: 1.626293 | Y:1.567123 | Z: 1.280788
Counter: 146 | X: 1.626704 | Y:1.567285 | Z: 1.281956
Counter: 147 | X: 1.626336 | Y:1.567614 | Z: 1.281170
Counter: 148 | X: 1.626683 | Y:1.567817 | Z: 1.279412
Counter: 149 | X: 1.626893 | Y:1.567452 | Z: 1.280717
Counter: 150 | X: 1.626810 | Y:1.567984 | Z: 1.281170
Counter: 151 | X: 1.626735 | Y:1.568004 | Z: 1.280919
Counter: 152 | X: 1.626592 | Y:1.567839 | Z: 1.280919
